condition_id,task,distractor_type,noise_count,gold_count,menu_size,gold_fraction,gold_positions
3d-scan-calc|shared|n0,3d-scan-calc,shared,0,1,1,1.0,1
3d-scan-calc|random|n2,3d-scan-calc,random,2,1,3,0.3333333333333333,1
3d-scan-calc|hard|n2,3d-scan-calc,hard,2,1,3,0.3333333333333333,3
3d-scan-calc|random|n5,3d-scan-calc,random,5,1,6,0.16666666666666666,1
3d-scan-calc|hard|n5,3d-scan-calc,hard,5,1,6,0.16666666666666666,4
3d-scan-calc|random|n10,3d-scan-calc,random,10,1,11,0.09090909090909091,4
3d-scan-calc|hard|n10,3d-scan-calc,hard,10,1,11,0.09090909090909091,6
3d-scan-calc|random|n20,3d-scan-calc,random,20,1,21,0.047619047619047616,9
3d-scan-calc|hard|n20,3d-scan-calc,hard,20,1,21,0.047619047619047616,9
adaptive-cruise-control|shared|n0,adaptive-cruise-control,shared,0,5,5,1.0,1;2;3;4;5
adaptive-cruise-control|random|n2,adaptive-cruise-control,random,2,5,7,0.7142857142857143,1;2;3;6;7
adaptive-cruise-control|hard|n2,adaptive-cruise-control,hard,2,5,7,0.7142857142857143,1;2;3;5;7
adaptive-cruise-control|random|n5,adaptive-cruise-control,random,5,5,10,0.5,1;2;3;7;8
adaptive-cruise-control|hard|n5,adaptive-cruise-control,hard,5,5,10,0.5,1;2;4;7;9
adaptive-cruise-control|random|n10,adaptive-cruise-control,random,10,5,15,0.3333333333333333,2;3;6;11;13
adaptive-cruise-control|hard|n10,adaptive-cruise-control,hard,10,5,15,0.3333333333333333,2;3;5;9;11
adaptive-cruise-control|random|n20,adaptive-cruise-control,random,20,5,25,0.2,4;5;9;15;18
adaptive-cruise-control|hard|n20,adaptive-cruise-control,hard,20,5,25,0.2,3;4;7;16;18
azure-bgp-oscillation-route-leak|shared|n0,azure-bgp-oscillation-route-leak,shared,0,1,1,1.0,1
azure-bgp-oscillation-route-leak|random|n2,azure-bgp-oscillation-route-leak,random,2,1,3,0.3333333333333333,3
azure-bgp-oscillation-route-leak|hard|n2,azure-bgp-oscillation-route-leak,hard,2,1,3,0.3333333333333333,1
azure-bgp-oscillation-route-leak|random|n5,azure-bgp-oscillation-route-leak,random,5,1,6,0.16666666666666666,4
azure-bgp-oscillation-route-leak|hard|n5,azure-bgp-oscillation-route-leak,hard,5,1,6,0.16666666666666666,4
azure-bgp-oscillation-route-leak|random|n10,azure-bgp-oscillation-route-leak,random,10,1,11,0.09090909090909091,7
azure-bgp-oscillation-route-leak|hard|n10,azure-bgp-oscillation-route-leak,hard,10,1,11,0.09090909090909091,6
azure-bgp-oscillation-route-leak|random|n20,azure-bgp-oscillation-route-leak,random,20,1,21,0.047619047619047616,14
azure-bgp-oscillation-route-leak|hard|n20,azure-bgp-oscillation-route-leak,hard,20,1,21,0.047619047619047616,10
citation-check|shared|n0,citation-check,shared,0,1,1,1.0,1
citation-check|random|n2,citation-check,random,2,1,3,0.3333333333333333,1
citation-check|hard|n2,citation-check,hard,2,1,3,0.3333333333333333,2
citation-check|random|n5,citation-check,random,5,1,6,0.16666666666666666,2
citation-check|hard|n5,citation-check,hard,5,1,6,0.16666666666666666,3
citation-check|random|n10,citation-check,random,10,1,11,0.09090909090909091,4
citation-check|hard|n10,citation-check,hard,10,1,11,0.09090909090909091,4
citation-check|random|n20,citation-check,random,20,1,21,0.047619047619047616,8
citation-check|hard|n20,citation-check,hard,20,1,21,0.047619047619047616,6
civ6-adjacency-optimizer|shared|n0,civ6-adjacency-optimizer,shared,0,4,4,1.0,1;2;3;4
civ6-adjacency-optimizer|random|n2,civ6-adjacency-optimizer,random,2,4,6,0.6666666666666666,1;2;4;5
civ6-adjacency-optimizer|hard|n2,civ6-adjacency-optimizer,hard,2,4,6,0.6666666666666666,1;3;5;6
civ6-adjacency-optimizer|random|n5,civ6-adjacency-optimizer,random,5,4,9,0.4444444444444444,2;4;6;7
civ6-adjacency-optimizer|hard|n5,civ6-adjacency-optimizer,hard,5,4,9,0.4444444444444444,1;6;8;9
civ6-adjacency-optimizer|random|n10,civ6-adjacency-optimizer,random,10,4,14,0.2857142857142857,2;6;9;12
